domain,key,context,locale,source_text,expected_text,human_reviewed,text
browser_event_docs,title,,fr_FR,"Browser Event API Docs","Documentation API des événements navigateur",0,"Documentation API des événements navigateur"
browser_event_docs,fallback_title,,fr_FR,"Browser Event Docs","Documentation des événements navigateur",0,"Documentation des événements navigateur"
browser_event_docs,unknown_event,,fr_FR,"Unknown event","Événement inconnu",0,"Événement inconnu"
browser_event_docs,lead,,fr_FR,"Curated manual for important browser events. Total documented events: {total}","Guide sélectionné des événements navigateur importants. Total des événements documentés : {total}",0,"Guide sélectionné des événements navigateur importants. Total des événements documentés : {total}"
browser_event_docs,empty_prefix,,fr_FR,"No browser event docs were generated yet. Run","Aucune documentation d’événements navigateur n’a encore été générée. Exécutez",0,"Aucune documentation d’événements navigateur n’a encore été générée. Exécutez"
browser_event_docs,back_to_index,,fr_FR,"Back to Browser Event API Docs","Retour à la documentation API des événements navigateur",0,"Retour à la documentation API des événements navigateur"
browser_event_docs,col.name,,fr_FR,Name,Nom,0,Nom
browser_event_docs,col.route,,fr_FR,Route,Route,0,Route
browser_event_docs,col.slug,,fr_FR,Slug,Slug,0,Slug
browser_event_docs,col.summary,,fr_FR,Summary,Résumé,0,Résumé
browser_event_docs,section.description,,fr_FR,Description,Description,0,Description
browser_event_docs,section.identity,,fr_FR,Identity,Identité,0,Identité
browser_event_docs,identity.slug,,fr_FR,Slug,Slug,0,Slug
browser_event_docs,identity.event_name,,fr_FR,"Event Name","Nom de l’événement",0,"Nom de l’événement"
browser_event_docs,identity.browser_route,,fr_FR,"Browser Route","Route navigateur",0,"Route navigateur"
browser_event_docs,identity.class,,fr_FR,Class,Classe,0,Classe
browser_event_docs,section.authorization,,fr_FR,Authorization,Autorisation,0,Autorisation
browser_event_docs,authorization.visibility,,fr_FR,Visibility,Visibilité,0,Visibilité
browser_event_docs,authorization.description,,fr_FR,Description,Description,0,Description
browser_event_docs,section.request_response,,fr_FR,"Request / Response","Requête / réponse",0,"Requête / réponse"
browser_event_docs,request.method,,fr_FR,Method,Méthode,0,Méthode
browser_event_docs,response.kind,,fr_FR,"Response Kind","Type de réponse",0,"Type de réponse"
browser_event_docs,response.content_type,,fr_FR,"Content Type","Type de contenu",0,"Type de contenu"
browser_event_docs,response.description,,fr_FR,"Response Description","Description de la réponse",0,"Description de la réponse"
browser_event_docs,section.invocation,,fr_FR,"How to Call This","Comment appeler ceci",0,"Comment appeler ceci"
browser_event_docs,invocation.url_php,,fr_FR,"PHP URL Helper","Helper URL PHP",0,"Helper URL PHP"
browser_event_docs,invocation.template_helper,,fr_FR,"Template Helper","Helper de template",0,"Helper de template"
browser_event_docs,invocation.ajax_helper,,fr_FR,"AJAX Helper","AJAX Helper",0,"AJAX Helper"
browser_event_docs,invocation.ajax_helper_raw,,fr_FR,"AJAX Helper Raw","AJAX Helper brut",0,"AJAX Helper brut"
browser_event_docs,section.parameters,,fr_FR,Parameters,Paramètres,0,Paramètres
browser_event_docs,parameters.empty,,fr_FR,"No parameters documented.","Aucun paramètre documenté.",0,"Aucun paramètre documenté."
browser_event_docs,parameter.name,,fr_FR,Name,Nom,0,Nom
browser_event_docs,parameter.source,,fr_FR,Source,Source,0,Source
browser_event_docs,parameter.type,,fr_FR,Type,Type,0,Type
browser_event_docs,parameter.required,,fr_FR,Required,Requis,0,Requis
browser_event_docs,parameter.description,,fr_FR,Description,Description,0,Description
browser_event_docs,required_yes,,fr_FR,yes,oui,0,oui
browser_event_docs,required_no,,fr_FR,no,non,0,non
browser_event_docs,section.notes,,fr_FR,Notes,Notes,0,Notes
browser_event_docs,section.side_effects,,fr_FR,"Side Effects","Effets de bord",0,"Effets de bord"
